"kingdom","phylum","class","order","family","A","B","C"
"Archaea","Euryarchaeota","Thermoplasmata","E2","Methanomassiliicoccaceae",0,0,0
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Mogibacteriaceae",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",-1.95996398454005,0,0
"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae",-1.96859166918659,0,0
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paraprevotellaceae",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",-1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae",0,0,0
"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae",1.95996398454005,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",1.95996398454005,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",0,0,0
"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae",0,0,0
"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae",0,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae",0,0,0
"Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae",0,0,0
"Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Tissierellaceae",0,0,0
"Bacteria","Proteobacteria","Betaproteobacteria","Tremblayales","Tremblayaceae",0,0,0
"Bacteria","Firmicutes","Bacilli","Turicibacterales","Turicibacteraceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae",0,0,0
"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae",0,0,0
"Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae",0,0,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae",0,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified Clostridiales",0,0,0
"Bacteria","Tenericutes","RF3","ML615J-28","unclassified ML615J-28",0,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","RF32","unclassified RF32",0,0,0
"Bacteria","Tenericutes","Mollicutes","RF39","unclassified RF39",0,0,0
"Bacteria","Firmicutes","Clostridia","SHA-98","unclassified SHA-98",0,0,0
"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","unclassified Sphingobacteriales",0,0,0
"Bacteria","Cyanobacteria","Chloroplast","Streptophyta","unclassified Streptophyta",0,0,0
"Bacteria","Cyanobacteria","4C0d-2","YS2","unclassified YS2",0,0,0
