provider,taxon,conflict_kind,summary_row,matrix_row,summary_A,summary_B,summary_C,summary_positive_groups,summary_negative_groups,group,context_label,group_summary_z,group_summary_sign,opposite_direction_summary_groups,group_article_count,group_positive_articles,group_negative_articles,group_has_mixed_article_signs,article,raw_value,effect_text,article_direction,article_p,article_n,article_weight,article_z,article_weighted_contribution,article_opposes_group_summary
openai,Blautia,cross_context_only,15,113,1.95996398454005,-1.95996398454005,,A,B,A,Melanoma response to immunotherapy,1.95996398454005,positive,B,1,1,0,0,PMC10891084,+0.05 A [associated with favorable response during ICI],associated with favorable response during ICI,+,0.05,,1.0,1.9599639845400534,1.9599639845400534,0
openai,Blautia,cross_context_only,15,113,1.95996398454005,-1.95996398454005,,A,B,B,Melanoma survival,-1.95996398454005,negative,A,1,0,1,0,PMC11033470,-0.05 B [associated with reduced duration of progression-free survival in melanoma],associated with reduced duration of progression-free survival in melanoma,-,0.05,,1.0,-1.9599639845400534,-1.9599639845400534,0
openai,Clostridium,cross_context_only,20,120,-2.70950030675198,1.95996398454005,,B,A,A,Melanoma response to immunotherapy,-2.70950030675198,negative,B,2,0,2,0,PMC10380337,-0.05 A {n=31} [higher abundance in non-responders],higher abundance in non-responders,-,0.05,31.0,31.0,-1.9599639845400534,-60.758883520741655,0
openai,Clostridium,cross_context_only,20,120,-2.70950030675198,1.95996398454005,,B,A,A,Melanoma response to immunotherapy,-2.70950030675198,negative,B,2,0,2,0,PMC12259845,-0.05 A {n=20} [baseline enrichment in No-CR and No-PR groups],baseline enrichment in No-CR and No-PR groups,-,0.05,20.0,20.0,-1.9599639845400534,-39.19927969080107,0
openai,Clostridium,cross_context_only,20,120,-2.70950030675198,1.95996398454005,,B,A,B,Melanoma survival,1.95996398454005,positive,A,1,1,0,0,PMC6785875,+0.05 B {n=27} [associated with longer PFS in 16S data (selected >25% in elastic-net Cox; q<0.20)],associated with longer PFS in 16S data (selected >25% in elastic-net Cox; q<0.20),+,0.05,27.0,27.0,1.9599639845400534,52.91902758258144,0
openai,Lachnospiraceae,cross_context_and_within_group,31,50,-1.1544508146937,,1.95996398454005,C,A,A,Melanoma response to immunotherapy,-1.1544508146937,negative,C,4,3,1,1,PMC11560503,-0.05 A {n=160} [associated with non-MPR across multiple timepoints (LEfSe; LDA score >2.0)],associated with non-MPR across multiple timepoints (LEfSe; LDA score >2.0),-,0.05,160.0,160.0,-1.9599639845400534,-313.59423752640856,0
openai,Lachnospiraceae,cross_context_and_within_group,31,50,-1.1544508146937,,1.95996398454005,C,A,A,Melanoma response to immunotherapy,-1.1544508146937,negative,C,4,3,1,1,PMC11838642,+0.05 A {n=41} [higher abundance in responders],higher abundance in responders,+,0.05,41.0,41.0,1.9599639845400534,80.3585233661422,1
openai,Lachnospiraceae,cross_context_and_within_group,31,50,-1.1544508146937,,1.95996398454005,C,A,A,Melanoma response to immunotherapy,-1.1544508146937,negative,C,4,3,1,1,PMC12259845,+0.05 A {n=20} [baseline enrichment in partial responders (LEfSe)],baseline enrichment in partial responders (LEfSe),+,0.05,20.0,20.0,1.9599639845400534,39.19927969080107,1
openai,Lachnospiraceae,cross_context_and_within_group,31,50,-1.1544508146937,,1.95996398454005,C,A,A,Melanoma response to immunotherapy,-1.1544508146937,negative,C,4,3,1,1,PMC10891084,+0.05 A [associated with favorable response during ICI],associated with favorable response during ICI,+,0.05,,1.0,1.9599639845400534,1.9599639845400534,1
openai,Lachnospiraceae,cross_context_and_within_group,31,50,-1.1544508146937,,1.95996398454005,C,A,C,Other cancers + immunotherapy,1.95996398454005,positive,A,1,1,0,0,PMID32855157,+0.05 C {n=74} [higher relative abundance in responders to anti-PD-1/PD-L1 therapy],higher relative abundance in responders to anti-PD-1/PD-L1 therapy,+,0.05,74.0,74.0,1.9599639845400534,145.03733485596396,0
