"kingdom","phylum","class","order","family","genus","A","B","C"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter",0,0,0
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Olsenella",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",-1.95996398454005,0,0
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Papillibacter",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides",0,1.95996398454005,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paraprevotellaceae","Paraprevotella",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Tissierellaceae","Parvimonas",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Tissierellaceae","Peptoniphilus",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Phascolarctobacterium",0,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Phytophthora",0,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Plantago",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paraprevotellaceae","Prevotella",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Proteocatella",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Proteus",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Providencia",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Pseudobacteroides",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Pseudobutyrivibrio",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Pseudoramibacter_Eubacterium",0,0,0
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","RFN20",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",0,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas",0,0,0
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Rothia",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Ruminococcus",0,0,0
"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Rummeliibacillus",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","SMB53",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Sarcina",0,0,0
"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Scardovia",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Selenomonas",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Shigella",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Shuttleworthia",0,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Silene",0,0,0
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Slackia",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Sporobacter",0,0,0
"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",0,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",-1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio",0,0,0
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella",0,0,0
"Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Synergistes",0,0,0
"Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Trigonala",0,0,0
"Bacteria","Firmicutes","Bacilli","Turicibacterales","Turicibacteraceae","Turicibacter",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella",-1.95996398454005,0,0
"Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae","Victivallis",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Tissierellaceae","WAL_1855D",0,0,0
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","cc_115",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","human",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Tissierellaceae","ph2",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","rc4-4",0,0,0
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","unclassified Actinomycetaceae",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","unclassified Aeromonadaceae",0,0,0
"Bacteria","Lentisphaerae","unclassified Lentisphaerae","unclassified Bacteria","unclassified Bacteria","unclassified Bacteria",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","unclassified Barnesiellaceae",0,0,0
"Bacteria","Cyanobacteria","Candidatus Melainabacteria","Candidatus Gastranaerophilales","Candidatus Gastranaerophilaceae","unclassified Candidatus Gastranaerophilaceae",0,0,0
"Bacteria","Tenericutes","Mollicutes","Candidatus Izemoplasmatales","Candidatus Izemoplasmataceae","unclassified Candidatus Izemoplasma",0,0,0
"Bacteria","Verrucomicrobia","Opitutae","Cerasicoccales","Cerasicoccaceae","unclassified Cerasicoccaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","unclassified Christensenellaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","unclassified Clostridiaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified Clostridiales","unclassified Clostridiales",0,0,0
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","unclassified Coriobacteriaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Dehalobacteriaceae","unclassified Dehalobacteriaceae",0,0,0
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","unclassified Desulfovibrionaceae",0,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","unclassified Enterococcaceae",0,0,0
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","unclassified Erysipelotrichaceae",0,0,0
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","unclassified Fusobacteriaceae",0,0,0
"Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae","unclassified Gemellaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified Lachnospiraceae",0,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","unclassified Leuconostocaceae",0,0,0
"Bacteria","Tenericutes","RF3","ML615J-28","unclassified ML615J-28","unclassified ML615J-28",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Mogibacteriaceae","unclassified Mogibacteriaceae",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","unclassified Muribaculaceae",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paraprevotellaceae","unclassified Paraprevotellaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","unclassified Peptococcaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","unclassified Peptostreptococcaceae",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","unclassified Prevotellaceae",0,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","RF32","unclassified RF32","unclassified RF32",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","unclassified Rikenellaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified Ruminococcaceae",0,0,0
"Bacteria","Firmicutes","Clostridia","SHA-98","unclassified SHA-98","unclassified SHA-98",0,0,0
"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","unclassified Sphingobacteriales","unclassified Sphingobacteriales",0,0,0
"Bacteria","Cyanobacteria","Chloroplast","Streptophyta","unclassified Streptophyta","unclassified Streptophyta",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","unclassified Veillonellaceae",0,0,0
"Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae","unclassified Victivallaceae",0,0,0
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","unclassified Weeksellaceae",0,0,0
"Archaea","Euryarchaeota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae","vadinCA11",0,0,0
